enter,speaker,dialogue,choice1,choice2,exit1,exit2,audio,image,background
start,Narrator,Welcome to this game!,,,testA1,,,,
end,Narrator,The end: The end. Click the top right button to restart.,,,end,,,V1,frutiger_aero
,,,,,,,,,
testA1,Narrator,This is a visual novel framework that I have made with unity. This is the beta release and contains all major functionality that I had previously planned.,,,testA2,,,V2,
testA2,Narrator,The purpose of this project was:<br>A: To pass the college module that I built this for and// <br>B: A visual novel engine I used for a previous project lacked a certain functionality that I wanted.,,,testA3,,,,
testA3,Narrator,I was using ren'py during a game-jam while making my last game (Monster Bash) and I found myself wishing that all of my team members could write the script and code simultaneously.,,,testA4,,,,
testA4,Narrator,As it turns out ren'py does indeed this functionality?,,,testA5,,,,
testA5,Narrator,Anyways// first I will start off by explaining the basics of this project-,,,testA6,,,V2,
testA6,Narrator,It's main gimmick is that most of the data is stored in a spreadsheet// so you can make a visual novel with this without any knowledge of coding.,,,testA7,,,V1,
testA7,Narrator,In terms of how you can manipulate text// you can use all features that you can use in .md files// including: italics// line breaks// bold text// coloured text and more.,,,testA8,,,V2,
testA8,Narrator,Character and background sprites can be changed by putting them in the right folder// then writing their name in the spreadsheet where you want them to be.,,,testA9,,,V1,
testA9,Narrator,Audio is much the same// although if you wish to change the background music that is playing right now// you must drag and drop it into the right place in the unity editor.,,,testA10,,,V2,
testA10,Narrator,Do you want to hear some sample audio?,No,Yes,testA11,audio1,,,
testA11,Narrator,:(,,,testA12,,,,
testA12,Narrator,Damn..,,,testA13,,,,
testA13,Narrator,Multiple dialogue paths are easily done through the spreadsheet// when you write a dialogue choice it will automatically come up on screen.,,,testA14,,,,
testA14,Narrator,Have a go in the next section,,,testA15,,,,
testA15,Narrator,Answer my riddles three to continue.,There's no choice-,-these both lead to the same place,choicesA1,choicesA1,,,
badEndA1,Narrator,Since you answered wrong// you have lost the tutorial. ,,,badEndA2,,,,
badEndA2,Narrator,Its gone.,,,badEndA3,,,,
badEndA3,Narrator,No// I don't know where it went either.,,,badEndA4,,,V1,
badEndA4,Narrator,If you give me a second I can go find a replacement// meanwhile have this a loading bar to keep yourself entertained.,,,badEndA5,,,,
badEndA5,,[            ],,,badEndA6,,construction,,
badEndA6,,[#          ],,,badEndA7,,,,
badEndA7,,[##        ],,,badEndA8,,,,
badEndA8,,[###      ],,,badEndA9,,,,
badEndA9,,[####    ],,,badEndA10,,,,
badEndA10,,[#####  ],,,badEndA11,,,,
badEndA11,,[######],,,badEndA12,,,,
badEndA12,Narrator,I'm back. Sorry for the wait. ,,,badEndA13,,null,,
badEndA13,Narrator,So I spent a while digging around; turns out the rest of the tutorial is a few seconds away.,,,badEndA14,,,,
badEndA14,Narrator,Let's go get the tutorial back and then go finish it.,Walk,Refuse,tutorialA1,badEndA15,,,
badEndA15,Narrator,You don't want to finish the tutorial? Why?// it's just over there.,Walk,Refuse again,tutorialA1,badEndA16,,,
badEndA16,Narrator,Ok// I guess we can skip the tutorial. I still have the ending here so I'll just place it here and?,,,end,,,,
audio1,Narrator,Sound warning: the audio can be reduced through the settings// by pressing the top left button and changing ||SFX||.,,,audio2,,,,
audio2,Narrator,This is the text to speech engine ||Better SAM||.,,,audio3,,sam1,,
audio3,Narrator,Metal pipe.,,,audio4,,metalPipe,,
audio4,Narrator,And lastly: Triple Baka.,,,audio5,,tripleBaka,,
audio5,Narrator,Now back to other features:,,,testA13,,null,,
choicesA1,Narrator,What's 1 + 1?,2,3,choicesA2,badEndA1,,,
choicesA2,Narrator,Well done! You retain tutorial privilages!,,,choicesA3,,,,
choicesA3,Narrator,Here's your next question: What happens when you press your space bar// or click the screen// without selecting a choice.,Nothing happens,Wrong Answer,choicesA4,badEndA1,,V2,frutiger_aero
choicesA4,Narrator,Final Question: Should you use a different visual novel engine than this for your own projects?,Almost definitely yes,Just use ren'py,choicesA5,choicesA5,,V3,frutiger_aero
choicesA5,Narrator,Yup// Unity is NOT well optimised for visual novels as it turns out.,,,tutorialA1,,,V1,
tutorialA1,Narrator,Okay so you understand the basics of this project now. Now I'll go over how the some of the backend of this project works.,Continue?,Skip this part,tutorialA2,noEnd,,V1,
noEnd,Narrator,No.,,,tutorialA2,,,V2,
tutorialA2,Narrator,All of the dialogue is stored in a ||csv||// or ||comma separated value|| file. This is a very simple file type that can be used to make spreadsheets.,,,tutorialA3,,,,
tutorialA3,Narrator,How they work is that they are composed of one long string where each column is seperated by a comma// and each row is separated by the characters ||\ n|| (without the space between them). ,,,tutorialA4,,,,
tutorialA4,Narrator,As you have probably noticed I am able to speak with those characters (except ||\ n||),,,tutorialA5,,,,
tutorialA5,Narrator,Why I am able to do this is by writing into the csv file and then replacing certain character sequences with the characters I want once they have been put into a less tempermental holding place.,,,tutorialA6,,,,
tutorialA6,Narrator,A specific example of this is that in the csv I write commas as two ||/|| characters.,,,tutorialA7,,,,
tutorialA7,Narrator,Once these strings have been separated I put them into a variable that looks like this:,,,tutorialA8,,,,
tutorialA8,,||choicesA10||: [||speaker||: ||Narrator||// ||dialogue||: ||This is a fairly inefficient way of storing things// but it's easier to read.||// ||choice1||: ||||// ||choice2||: ||||// ||exit1||: ||SCARYJUMPSCARE||// ||exit2||: ||||],,,tutorialA9,,,,
tutorialA9,Narrator,This is a fairly inefficient way of storing things// but it's easier to read.,,,SCARYJUMPSCARE,,,,
SCARYJUMPSCARE,Narrator,<color=||red||><b>=LARGE COLOURED TEXT</b>,,,tutorialA10,,,,
tutorialA10,Narrator,That concludes the tutorial// thanks for playing through this game. The code is linked on this webpage if you wish to use this framework for your own purposes.,,,end,,,,
